"cityId","cityName","zoneId","zoneName","areaDownloadUrl"
"1","Dhaka","244","Rayerbag","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=244"
"1","Dhaka","245","Demra","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=245"
"1","Dhaka","247","Konapara","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=247"
"1","Dhaka","250","Bangshal","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=250"
"1","Dhaka","251","Manik Nagar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=251"
"1","Dhaka","252","Kamalapur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=252"
"1","Dhaka","254","Gopibagh","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=254"
"1","Dhaka","255","Matuail","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=255"
"1","Dhaka","257","Islampur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=257"
"1","Dhaka","258","Sadarghat (Dhaka)","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=258"
"1","Dhaka","259","Nawabpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=259"
"1","Dhaka","260","Lakshmibazar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=260"
"1","Dhaka","264","Dhonia","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=264"
"1","Dhaka","266","Narinda","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=266"
"1","Dhaka","274","Bakshi Bazar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=274"
"1","Dhaka","280","Mirpur 12","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=280"
"1","Dhaka","281","Mirpur DOHS","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=281"
"1","Dhaka","282","Tolarbag","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=282"
"1","Dhaka","283","Mirpur 6","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=283"
"1","Dhaka","286","Kazipara","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=286"
"1","Dhaka","287","Darussalam","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=287"
"1","Dhaka","289","Vasan Tek","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=289"
"1","Dhaka","290","Kochukhet","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=290"
"1","Dhaka","291","Matikata","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=291"
"1","Dhaka","292","Balughat","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=292"
"1","Dhaka","293","Gabtoli","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=293"
"1","Dhaka","297","SONY Cinema Hall","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=297"
"1","Dhaka","298","60 feet","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=298"
"1","Dhaka","300","Aftab Nagar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=300"
"1","Dhaka","302","Shegunbagicha","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=302"
"1","Dhaka","303","Bashabo","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=303"
"1","Dhaka","304","Shobujbag","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=304"
"1","Dhaka","306","Shiddeshwari","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=306"
